"Uptime (ms)","Used G1 Old Gen (bytes)","Used G1 Eden Space (bytes)","Used G1 Survivor Space (bytes)","Allocated All Pools (bytes)"
"1200","0","10485760","0","257949696"
"2200","0","10485760","0","257949696"
"3200","0","10485760","0","257949696"
"4200","0","10485760","0","257949696"
"5200","0","12582912","0","257949696"
"6200","0","12582912","0","257949696"
"7200","0","14680064","0","257949696"
"8200","0","14680064","0","257949696"
"9200","0","14680064","0","257949696"
"10200","0","14680064","0","257949696"
"11200","0","14680064","0","257949696"
"12200","0","14680064","0","257949696"
"13200","0","16777216","0","257949696"
"14200","0","18874368","0","257949696"
"15200","0","18874368","0","257949696"
"16200","0","20971520","0","257949696"
"17200","0","2097152","2489344","257949696"
"18200","0","2097152","2489344","257949696"
"19200","0","2097152","2489344","257949696"
"20200","0","2097152","2489344","257949696"
"21200","0","2097152","2489344","257949696"
"22200","0","2097152","2489344","257949696"
"23200","0","2097152","2489344","257949696"
"24200","0","2097152","2489344","257949696"
"25200","0","2097152","2489344","257949696"
"26200","0","2097152","2489344","257949696"
"27200","0","2097152","2489344","257949696"
"28200","0","4194304","2489344","257949696"
"29200","0","4194304","2489344","257949696"
"30200","0","4194304","2489344","257949696"
"31200","0","4194304","2489344","257949696"
"32200","0","4194304","2489344","257949696"
"33200","0","4194304","2489344","257949696"
"34200","0","4194304","2489344","257949696"
"35200","0","4194304","2489344","257949696"
"36200","0","4194304","2489344","257949696"
"37200","0","4194304","2489344","257949696"
"38200","0","4194304","2489344","257949696"
"39200","0","4194304","2489344","257949696"
"40200","0","4194304","2489344","257949696"
"41200","0","4194304","2489344","257949696"
"42200","0","4194304","2489344","257949696"
"43200","0","4194304","2489344","257949696"
"44200","0","4194304","2489344","257949696"
"45200","0","4194304","2489344","257949696"
"46200","0","4194304","2489344","257949696"
"47200","0","4194304","2489344","257949696"
