Table--Socket

+-------+---------------------------+-------------------+----------+-------------------+------------------+-------------+--------------+------------------+------------------+--------------+---------------+-------------------+-------------------+---------------+----------------------+--------------------------+--------------------------+----------------------+-----------------------+---------------------------+---------------------------+-----------------------+--------------+---------------+
|  Row  |          Address          |       Class       |  Object  |  Aggr. Time (ms)  |  Life Time (ms)  |    When     |  Read.Bytes  |  Read.Bytes.Min  |  Read.Bytes.Max  |  Read.Count  |  Write.Bytes  |  Write.Bytes.Min  |  Write.Bytes.Max  |  Write.Count  |  Channel Read.Bytes  |  Channel Read.Bytes.Min  |  Channel Read.Bytes.Max  |  Channel Read.Count  |  Channel Write.Bytes  |  Channel Write.Bytes.Min  |  Channel Write.Bytes.Max  |  Channel Write.Count  |  Open.Count  |  Close.Count  |
+-------+---------------------------+-------------------+----------+-------------------+------------------+-------------+--------------+------------------+------------------+--------------+---------------+-------------------+-------------------+---------------+----------------------+--------------------------+--------------------------+----------------------+-----------------------+---------------------------+---------------------------+-----------------------+--------------+---------------+
|  #1   |  /127.0.0.1:59203         |  java.net.Socket  |     #23  |               10  |              14  |      901ms  |           0  |               0  |               0  |           1  |            0  |                0  |                0  |            0  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            0  |
|  #2   |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |     #51  |                6  |              38  |   1s 714ms  |       1,086  |           1,086  |           1,086  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #3   |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |     #53  |              128  |             132  |   1s 717ms  |         986  |             986  |             986  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #4   |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |     #75  |                4  |               7  |   6s 324ms  |       1,066  |           1,066  |           1,066  |           1  |        1,389  |            1,389  |            1,389  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #5   |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |     #77  |               36  |              40  |   6s 325ms  |         988  |             988  |             988  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #6   |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |     #83  |                1  |               5  |   6s 363ms  |         992  |             992  |             992  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #7   |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |     #85  |                1  |               5  |   6s 365ms  |         996  |             996  |             996  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #8   |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |     #91  |                2  |               6  |   6s 366ms  |         991  |             991  |             991  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #9   |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |     #95  |                1  |               4  |   6s 401ms  |         992  |             992  |             992  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #10  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #103  |                1  |               5  |   9s 807ms  |         992  |             992  |             992  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #11  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #111  |                4  |               6  |   11s 23ms  |       1,111  |           1,111  |           1,111  |           1  |           75  |               75  |               75  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #12  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #113  |               45  |              48  |   11s 23ms  |         991  |             991  |             991  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #13  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #119  |                0  |               2  |  12s 328ms  |         992  |             992  |             992  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #14  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #123  |                4  |               6  |  13s 124ms  |       1,116  |           1,116  |           1,116  |           1  |          122  |              122  |              122  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #15  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #127  |               44  |              46  |  13s 125ms  |         996  |             996  |             996  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #16  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #135  |                4  |               6  |  14s 207ms  |       1,116  |           1,116  |           1,116  |           1  |        1,389  |            1,389  |            1,389  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #17  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #137  |               37  |              40  |  14s 208ms  |         988  |             988  |             988  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #18  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #143  |                1  |               4  |  14s 248ms  |         992  |             992  |             992  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #19  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #145  |                1  |               5  |  14s 249ms  |         996  |             996  |             996  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
